Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	22	24.175824175824175	6.526027729122934E-11	4680, 5197, 6036, 1088, 728358, 28816, 266727, 28439, 1668, 671, 1667, 1359, 2920, 28775, 284415, 820, 3135, 5555, 10321, 10562, 4317, 3934	45	1946	20587	5.172022382094324	5.481860299028085E-9	5.481863292463265E-9	5.351342737880806E-9
GOTERM_CC_DIRECT	GO:0035580~specific granule lumen	7	7.6923076923076925	3.7583937622884176E-9	671, 820, 2352, 10321, 10562, 4317, 3934	45	62	20587	51.65197132616487	3.1570502212474594E-7	1.5785253801611353E-7	1.5409414425382512E-7
UP_KW_DOMAIN	KW-0732~Signal	28	30.76923076923077	3.334780978104076E-8	6036, 1088, 2352, 100049587, 728358, 28816, 28439, 671, 1359, 28573, 2920, 28775, 284415, 3135, 5555, 3934, 4680, 5197, 266727, 1668, 2812, 1667, 820, 26047, 10321, 10562, 4317, 2815	37	4357	14500	2.5184698124794522	4.0017364344446804E-7	4.0017371737248914E-7	4.0017371737248914E-7
GOTERM_BP_DIRECT	GO:0061844~antimicrobial humoral immune response mediated by antimicrobial peptide	7	7.6923076923076925	1.428028711906089E-7	1668, 671, 1667, 2920, 5197, 820, 728358	44	109	19357	28.25250208507089	3.0130954027152157E-5	2.998860295002787E-5	2.8132165624549954E-5
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	19	20.87912087912088	2.2631768116443017E-7	5197, 7288, 2352, 728358, 28816, 28439, 1668, 671, 1667, 2920, 28775, 284415, 820, 3135, 5555, 10321, 10562, 4317, 3934	41	2133	17662	3.8372382879946945	3.847393613698458E-6	3.8474005797953126E-6	3.8474005797953126E-6
UP_KW_PTM	KW-1015~Disulfide bond	27	29.67032967032967	2.5888692839526293E-7	6036, 1088, 2352, 100049587, 728358, 28816, 28439, 671, 1359, 28573, 2920, 28775, 284415, 3135, 3934, 4680, 5197, 266727, 1668, 2812, 1667, 820, 26047, 10321, 10562, 4317, 2815	40	3808	14104	2.5000525210084037	3.624410899294439E-6	3.883303925928944E-6	3.883303925928944E-6
GOTERM_BP_DIRECT	GO:0002227~innate immune response in mucosa	5	5.4945054945054945	4.1567655278183493E-7	1668, 1667, 6036, 820, 728358	44	28	19357	78.55925324675324	8.770392464185761E-5	4.3646038042092664E-5	4.094414044901074E-5
GOTERM_BP_DIRECT	GO:0006955~immune response	10	10.989010989010989	1.1698158718451664E-6	671, 1667, 2920, 28775, 820, 3135, 1088, 728358, 28816, 28439	44	497	19357	8.851746844704591	2.4680083299388755E-4	8.188711102916165E-5	7.681790891783259E-5
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	7	7.6923076923076925	3.193180196112907E-6	1668, 671, 1667, 2920, 5197, 820, 728358	44	185	19357	16.646068796068796	6.735351703957004E-4	1.676419602959276E-4	1.5726412465856066E-4
GOTERM_CC_DIRECT	GO:0005576~extracellular region	17	18.681318681318682	3.753407457638911E-6	7288, 6036, 2352, 728358, 28816, 266727, 28439, 1668, 671, 1667, 1359, 2920, 820, 10321, 10562, 4317, 3934	45	2119	20587	3.670274238372398	3.15237120474543E-4	1.050954088138895E-4	1.0259313717546356E-4
