ENTREZ_GENE_ID	Name	Species
1667	defensin alpha 1(DEFA1)	Homo sapiens
387590	TPTE pseudogene 1(TPTEP1)	Homo sapiens
1668	defensin alpha 3(DEFA3)	Homo sapiens
101928214	uncharacterized LOC101928214(LOC101928214)	Homo sapiens
101928089	SMYD3 antisense RNA 1(SMYD3-AS1)	Homo sapiens
339855	kyphoscoliosis peptidase(KY)	Homo sapiens
4493	metallothionein 1E(MT1E)	Homo sapiens
105377225	uncharacterized LOC105377225(LOC105377225)	Homo sapiens
110091776	ankyrin repeat domain 18B pseudogene(LOC110091776)	Homo sapiens
28816	immunoglobulin lambda variable 2-11(IGLV2-11)	Homo sapiens
105374167	uncharacterized LOC105374167(LOC105374167)	Homo sapiens
105377110	CFAP20DC divergent transcript(CFAP20DC-DT)	Homo sapiens
6036	ribonuclease A family member 2(RNASE2)	Homo sapiens
100462953	MICOS10 pseudogene 1(MICOS10P1)	Homo sapiens
107987192	uncharacterized LOC107987192(LOC107987192)	Homo sapiens
28439	immunoglobulin heavy variable 3-30(IGHV3-30)	Homo sapiens
101927817	uncharacterized LOC101927817(LOC101927817)	Homo sapiens
105377498	uncharacterized LOC105377498(LOC105377498)	Homo sapiens
28573	T cell receptor beta variable 14(TRBV14)	Homo sapiens
105371354	uncharacterized LOC105371354(LOC105371354)	Homo sapiens
671	bactericidal permeability increasing protein(BPI)	Homo sapiens
664618	heat shock protein 90 alpha family class B member 4, pseudogene(HSP90AB4P)	Homo sapiens
107985486	uncharacterized LOC107985486(LOC107985486)	Homo sapiens
932	membrane spanning 4-domains A3(MS4A3)	Homo sapiens
101927861	long intergenic non-protein coding RNA 1293(LINC01293)	Homo sapiens
107987401	uncharacterized LOC107987401(LOC107987401)	Homo sapiens
107985736	uncharacterized LOC107985736(LOC107985736)	Homo sapiens
54055	cytochrome P450 family 4 subfamily F member 29, pseudogene(CYP4F29P)	Homo sapiens
102723382	ankyrin repeat domain-containing protein 20B-like(LOC102723382)	Homo sapiens
154664	ATP binding cassette subfamily A member 13(ABCA13)	Homo sapiens
728358	defensin alpha 1B(DEFA1B)	Homo sapiens
105371880	uncharacterized LOC105371880(LOC105371880)	Homo sapiens
6192	ribosomal protein S4 Y-linked 1(RPS4Y1)	Homo sapiens
2352	folate receptor gamma(FOLR3)	Homo sapiens
3505	immunoglobulin heavy constant gamma P (non-functional)(IGHGP)	Homo sapiens
105377781	uncharacterized LOC105377781(LOC105377781)	Homo sapiens
5555	proline rich protein HaeIII subfamily 2(PRH2)	Homo sapiens
820	cathelicidin antimicrobial peptide(CAMP)	Homo sapiens
100131395	uncharacterized LOC100131395(LOC100131395)	Homo sapiens
105372272	lncRNA inflammatory and mucous response associated, antisense to ICAM1(LIMASI)	Homo sapiens
3135	major histocompatibility complex, class I, G(HLA-G)	Homo sapiens
26047	contactin associated protein 2(CNTNAP2)	Homo sapiens
1088	CEA cell adhesion molecule 8(CEACAM8)	Homo sapiens
100287290	uncharacterized LOC100287290(LOC100287290)	Homo sapiens
10562	olfactomedin 4(OLFM4)	Homo sapiens
55365	transmembrane protein 176A(TMEM176A)	Homo sapiens
100049587	sialic acid binding Ig like lectin 14(SIGLEC14)	Homo sapiens
100507195	long intergenic non-protein coding RNA 2384(LINC02384)	Homo sapiens
105372801	uncharacterized LOC105372801(LOC105372801)	Homo sapiens
4680	CEA cell adhesion molecule 6(CEACAM6)	Homo sapiens
101927257	MRTFA antisense RNA 1(MRTFA-AS1)	Homo sapiens
8653	DEAD-box helicase 3 Y-linked(DDX3Y)	Homo sapiens
5197	platelet factor 4 variant 1(PF4V1)	Homo sapiens
101928669	uncharacterized LOC101928669(LOC101928669)	Homo sapiens
107984673	uncharacterized LOC107984673(LOC107984673)	Homo sapiens
