Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00970:Aminoacyl-tRNA biosynthesis	8	9.195402298850574	2.4383380113004426E-10	4572, 4573, 4563, 4553, 4565, 4566, 4555, 4568	23	66	8205	43.241106719367586	2.5358719235590854E-8	2.53587153175246E-8	2.389571251074434E-8
GOTERM_BP_DIRECT	GO:0006955~immune response	9	10.344827586206897	1.1741428599714767E-5	28908, 2215, 3117, 3576, 3553, 6348, 3495, 28815, 2208	44	497	19357	7.966572160234133	0.00571346650808946	0.005729817156660807	0.005729817156660807
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	5	5.747126436781609	9.677500429634238E-5	414062, 3117, 3576, 3553, 6348	23	93	8205	19.17952314165498	0.010014604001647998	0.005032300223409804	0.004741975210520777
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	4	4.597701149425287	8.002054219527563E-4	414062, 3576, 3553, 6348	44	82	19357	21.46008869179601	0.3233875145065356	0.19525012295647254	0.19525012295647254
KEGG_PATHWAY	hsa05140:Leishmaniasis	4	4.597701149425287	0.0010763836498293258	2215, 3117, 3553, 5743	23	77	8205	18.531902879728968	0.10595948866381577	0.03549047048324899	0.03344294333998463
KEGG_PATHWAY	hsa04657:IL-17 signaling pathway	4	4.597701149425287	0.0019150714596629108	3576, 3553, 2354, 5743	23	94	8205	15.180388529139684	0.1807437688970096	0.03549047048324899	0.03344294333998463
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	4	4.597701149425287	0.002221525316201708	3117, 100133941, 3553, 2208	23	99	8205	14.413702239789197	0.20649516254079636	0.03549047048324899	0.03344294333998463
KEGG_PATHWAY	hsa05142:Chagas disease	4	4.597701149425287	0.002419241326593437	414062, 3576, 3553, 6348	23	102	8205	13.989769820971867	0.2226821443200886	0.03549047048324899	0.03344294333998463
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	4	4.597701149425287	0.0025569451238159424	414062, 3576, 3553, 6348	23	104	8205	13.720735785953178	0.23376230292184053	0.03549047048324899	0.03344294333998463
KEGG_PATHWAY	hsa05163:Human cytomegalovirus infection	5	5.747126436781609	0.002730036191019153	414062, 3576, 3553, 6348, 5743	23	225	8205	7.927536231884058	0.24746820575202744	0.03549047048324899	0.03344294333998463
INTERPRO	IPR001811:Chemokine interleukin-8-like domain	3	3.4482758620689653	0.003957233120140251	414062, 3576, 6348	40	46	19139	31.204891304347825	0.3810774441780187	0.24631981962060384	0.24631981962060384
INTERPRO	IPR009281:LR8	2	2.2988505747126435	0.004071401977200064	55365, 28959	40	2	19139	478.475	0.38960270871651537	0.24631981962060384	0.24631981962060384
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	12	13.793103448275861	0.005192562767278114	28908, 2215, 414062, 3576, 4057, 3553, 6348, 3495, 4811, 28815, 4549, 2208	40	2133	17662	2.484106891701828	0.10821838391336036	0.1142363808801185	0.1142363808801185
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	3	3.4482758620689653	0.005512526849118683	414062, 3576, 6348	43	50	18913	26.390232558139537	0.5016735470964275	0.694578382988954	0.694578382988954
SMART	SM00199:SCY	3	3.4482758620689653	0.005924610593754553	414062, 3576, 6348	29	43	10374	24.957497995188454	0.1925872717744891	0.2132859813751639	0.2132859813751639
GOTERM_CC_DIRECT	GO:0005576~extracellular region	11	12.643678160919542	0.010484717524951332	28908, 2215, 414062, 3576, 4057, 3553, 6348, 3495, 4811, 93100, 28815	44	2119	20587	2.428857951864087	0.6207980575720145	0.8000243824050659	0.8000243824050659
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	3	3.4482758620689653	0.010578933841668482	414062, 3576, 6348	44	70	19357	18.85422077922078	0.9944281091866944	0.9423928381813685	0.9423928381813685
UP_KW_MOLECULAR_FUNCTION	KW-0202~Cytokine	4	4.597701149425287	0.011055621271183858	414062, 3576, 3553, 6348	29	196	11735	8.258268824771287	0.31475882400313415	0.3081328631905167	0.3081328631905167
GOTERM_BP_DIRECT	GO:0031622~positive regulation of fever generation	2	2.2988505747126435	0.011058993150504185	3553, 5743	44	5	19357	175.97272727272727	0.9956030846223576	0.9423928381813685	0.9423928381813685
