nodeName	altName	nodeAttr[nodesPresent, ]
113219467	NA	blue
2782	NA	blue
5226	NA	blue
6135	NA	blue
23585	NA	blue
83442	NA	blue
7805	NA	blue
5538	NA	blue
4904	NA	blue
6202	NA	blue
2787	NA	blue
6272	NA	blue
10628	NA	blue
440689	NA	blue
5692	NA	blue
6280	NA	blue
6746	NA	blue
3068	NA	blue
2205	NA	blue
8407	NA	blue
23385	NA	blue
2207	NA	blue
84824	NA	blue
5087	NA	blue
6403	NA	blue
2752	NA	blue
64407	NA	blue
51094	NA	blue
25893	NA	blue
8853	NA	blue
9741	NA	blue
100128731	NA	blue
4052	NA	blue
5093	NA	blue
550	NA	blue
9168	NA	blue
822	NA	blue
3514	NA	blue
6160	NA	blue
3987	NA	blue
26469	NA	blue
8436	NA	blue
3580	NA	blue
25953	NA	blue
5757	NA	blue
55845	NA	blue
6138	NA	blue
101927854	NA	blue
10491	NA	blue
10217	NA	blue
4615	NA	blue
2876	NA	blue
387	NA	blue
6159	NA	blue
7086	NA	blue
5627	NA	blue
11167	NA	blue
1475	NA	blue
1359	NA	blue
1173	NA	blue
10644	NA	blue
5473	NA	blue
10983	NA	blue
100505702	NA	blue
22915	NA	blue
4064	NA	blue
6228	NA	blue
929	NA	blue
22885	NA	blue
972	NA	blue
6678	NA	blue
2162	NA	blue
3006	NA	blue
3008	NA	blue
8351	NA	blue
3013	NA	blue
8343	NA	blue
3012	NA	blue
85236	NA	blue
8330	NA	blue
8336	NA	blue
3135	NA	blue
7940	NA	blue
199	NA	blue
3122	NA	blue
3123	NA	blue
3108	NA	blue
3111	NA	blue
3113	NA	blue
266727	NA	blue
83699	NA	blue
100133941	NA	blue
10643	NA	blue
5478	NA	blue
653361	NA	blue
29992	NA	blue
5577	NA	blue
9296	NA	blue
647087	NA	blue
767558	NA	blue
136319	NA	blue
1808	NA	blue
23643	NA	blue
760	NA	blue
6156	NA	blue
93100	NA	blue
5079	NA	blue
55363	NA	blue
445815	NA	blue
5742	NA	blue
6136	NA	blue
8721	NA	blue
57584	NA	blue
8031	NA	blue
3048	NA	blue
1200	NA	blue
6157	NA	blue
847	NA	blue
932	NA	blue
64231	NA	blue
2495	NA	blue
2197	NA	blue
2352	NA	blue
107984360	NA	blue
619383	NA	blue
4317	NA	blue
10205	NA	blue
23584	NA	blue
83700	NA	blue
2597	NA	blue
5777	NA	blue
8531	NA	blue
397	NA	blue
25840	NA	blue
5204	NA	blue
112268097	NA	blue
6667	NA	blue
6171	NA	blue
4637	NA	blue
4035	NA	blue
8099	NA	blue
196383	NA	blue
51082	NA	blue
9445	NA	blue
6039	NA	blue
6036	NA	blue
116173	NA	blue
6166	NA	blue
3958	NA	blue
4149	NA	blue
10577	NA	blue
8115	NA	blue
3503	NA	blue
3501	NA	blue
3500	NA	blue
3502	NA	blue
3495	NA	blue
3507	NA	blue
90427	NA	blue
100529067	NA	blue
79856	NA	blue
348093	NA	blue
1512	NA	blue
6218	NA	blue
54985	NA	blue
930	NA	blue
23406	NA	blue
7531	NA	blue
433	NA	blue
11337	NA	blue
968	NA	blue
7314	NA	blue
2124	NA	blue
9349	NA	blue
5878	NA	blue
3674	NA	blue
3690	NA	blue
4353	NA	blue
2885	NA	blue
7077	NA	blue
84617	NA	blue
1675	NA	blue
2879	NA	blue
2208	NA	blue
51257	NA	blue
8666	NA	blue
439	NA	blue
4218	NA	blue
10437	NA	blue
1050	NA	blue
1340	NA	blue
7305	NA	blue
826	NA	blue
5714	NA	blue
6626	NA	blue
4680	NA	blue
973	NA	blue
2512	NA	blue
951	NA	blue
6205	NA	blue
100049587	NA	blue
2357	NA	blue
11027	NA	blue
11006	NA	blue
113218487	NA	blue
140885	NA	blue
3055	NA	blue
83658	NA	blue
10398	NA	blue
5476	NA	blue
2778	NA	blue
81027	NA	blue
514	NA	blue
3460	NA	blue
6612	NA	blue
387590	NA	blue
28775	NA	blue
28817	NA	blue
3538	NA	blue
3539	NA	blue
3542	NA	blue
2781	NA	blue
29796	NA	blue
3957	NA	blue
468	NA	blue
23313	NA	blue
51311	NA	blue
5199	NA	blue
5355	NA	blue
100529097	NA	blue
6173	NA	blue
4354	NA	blue
4567	NA	blue
4535	NA	blue
4565	NA	blue
4572	NA	blue
4569	NA	blue
4536	NA	blue
4555	NA	blue
4566	NA	blue
4508	NA	blue
4563	NA	blue
4568	NA	blue
4540	NA	blue
4556	NA	blue
4576	NA	blue
