#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DENR	EIF5	9606.ENSP00000280557	9606.ENSP00000216554	0	0	0	0	0.145	0.369	0	0.516	0.716
DENR	RPS12	9606.ENSP00000280557	9606.ENSP00000230050	0	0	0	0	0.068	0.844	0	0.293	0.888
DENR	RPS16	9606.ENSP00000280557	9606.ENSP00000251453	0	0	0	0	0.115	0.851	0	0	0.863
DENR	DHX29	9606.ENSP00000280557	9606.ENSP00000251636	0	0	0	0	0.063	0.056	0	0.612	0.627
DENR	EIF2S3	9606.ENSP00000280557	9606.ENSP00000253039	0	0	0	0	0.100	0.246	0	0.235	0.436
DENR	EIF3G	9606.ENSP00000280557	9606.ENSP00000253108	0	0	0	0	0.113	0.532	0	0.640	0.837
DENR	EIF2S1	9606.ENSP00000280557	9606.ENSP00000256383	0	0	0	0	0.505	0.526	0	0.355	0.835
DENR	EIF3J	9606.ENSP00000280557	9606.ENSP00000261868	0	0	0	0	0.128	0.285	0	0.525	0.678
DENR	RPS11	9606.ENSP00000280557	9606.ENSP00000270625	0.185	0	0	0	0.042	0.870	0	0.101	0.897
DENR	EIF2D	9606.ENSP00000280557	9606.ENSP00000271764	0	0	0	0	0.208	0.520	0	0.907	0.961
DENR	RPS27A	9606.ENSP00000280557	9606.ENSP00000272317	0	0	0	0	0.093	0.914	0	0.048	0.920
DENR	EIF4G1	9606.ENSP00000280557	9606.ENSP00000416255	0	0	0	0	0.064	0.160	0	0.395	0.483
DENR	DRG1	9606.ENSP00000280557	9606.ENSP00000329715	0	0	0	0	0.471	0	0	0.107	0.507
DENR	EIF3CL	9606.ENSP00000280557	9606.ENSP00000370258	0	0	0	0	0.108	0.377	0	0.188	0.509
DENR	EIF3C	9606.ENSP00000280557	9606.ENSP00000332604	0	0	0	0	0.110	0.377	0	0.306	0.582
DENR	ETF1	9606.ENSP00000280557	9606.ENSP00000353741	0	0	0	0	0.143	0	0	0.542	0.591
DENR	RPL30	9606.ENSP00000280557	9606.ENSP00000428085	0	0	0	0	0.131	0	0	0.549	0.592
DENR	EIF3B	9606.ENSP00000280557	9606.ENSP00000354125	0	0	0	0	0.106	0.369	0	0.386	0.623
DENR	EIF3I	9606.ENSP00000280557	9606.ENSP00000362688	0	0	0	0	0.149	0.384	0	0.374	0.644
DENR	EIF2S2	9606.ENSP00000280557	9606.ENSP00000364119	0	0	0	0	0.354	0.369	0	0.252	0.669
DENR	EIF3A	9606.ENSP00000280557	9606.ENSP00000358140	0	0	0	0	0.199	0.532	0	0.447	0.774
DENR	RPS21	9606.ENSP00000280557	9606.ENSP00000345957	0	0	0	0	0.092	0.842	0	0.085	0.857
DENR	RPSA	9606.ENSP00000280557	9606.ENSP00000346067	0	0	0	0	0.095	0.861	0	0.098	0.877
DENR	RPS23	9606.ENSP00000280557	9606.ENSP00000296674	0	0	0	0	0.095	0.864	0	0.116	0.881
DENR	RPS29	9606.ENSP00000280557	9606.ENSP00000379339	0.135	0	0	0	0.093	0.864	0	0	0.884
DENR	RPS26	9606.ENSP00000280557	9606.ENSP00000348849	0	0	0	0	0.077	0.871	0	0.101	0.884
DENR	RPS28	9606.ENSP00000280557	9606.ENSP00000472469	0	0	0	0	0.191	0.871	0	0.048	0.892
DENR	MCTS1	9606.ENSP00000280557	9606.ENSP00000360365	0	0	0	0	0.853	0.995	0	0.981	0.999
DHX29	EIF3D	9606.ENSP00000251636	9606.ENSP00000216190	0	0	0	0	0.067	0	0.360	0.597	0.739
DHX29	EIF5	9606.ENSP00000251636	9606.ENSP00000216554	0	0	0	0	0.064	0	0	0.713	0.720
DHX29	EIF3E	9606.ENSP00000251636	9606.ENSP00000220849	0	0	0	0	0.065	0	0.360	0.372	0.591
DHX29	RPS12	9606.ENSP00000251636	9606.ENSP00000230050	0	0	0	0	0.062	0.152	0.720	0.126	0.779
DHX29	EIF3K	9606.ENSP00000251636	9606.ENSP00000248342	0	0	0	0	0.063	0	0.360	0.442	0.636
DHX29	RPS16	9606.ENSP00000251636	9606.ENSP00000251453	0	0	0	0	0	0.174	0.720	0.097	0.773
DHX29	EIF2S2	9606.ENSP00000251636	9606.ENSP00000364119	0	0	0	0	0.065	0	0	0.390	0.405
DHX29	EIF2S3	9606.ENSP00000251636	9606.ENSP00000253039	0	0	0	0	0.063	0	0	0.468	0.480
DHX29	EIF3CL	9606.ENSP00000251636	9606.ENSP00000370258	0	0	0	0	0.089	0.063	0.360	0.170	0.485
DHX29	EIF3F	9606.ENSP00000251636	9606.ENSP00000431800	0	0	0	0	0	0	0.360	0.349	0.566
DHX29	EIF3M	9606.ENSP00000251636	9606.ENSP00000436049	0	0	0	0	0.062	0	0.360	0.418	0.620
DHX29	DENR	9606.ENSP00000251636	9606.ENSP00000280557	0	0	0	0	0.063	0.056	0	0.612	0.627
DHX29	EIF3A	9606.ENSP00000251636	9606.ENSP00000358140	0	0	0	0	0.092	0.067	0.360	0.393	0.627
DHX29	EIF3G	9606.ENSP00000251636	9606.ENSP00000253108	0	0	0	0	0.045	0	0.360	0.508	0.673
DHX29	EIF3H	9606.ENSP00000251636	9606.ENSP00000429931	0	0	0	0	0.065	0	0.540	0.319	0.681
DHX29	EIF4G1	9606.ENSP00000251636	9606.ENSP00000416255	0	0	0	0	0.136	0.056	0	0.673	0.710
DHX29	EIF3C	9606.ENSP00000251636	9606.ENSP00000332604	0	0	0	0	0.094	0.063	0.360	0.532	0.712
DHX29	EIF2S1	9606.ENSP00000251636	9606.ENSP00000256383	0	0	0	0	0.088	0	0.540	0.376	0.715
DHX29	RPS21	9606.ENSP00000251636	9606.ENSP00000345957	0	0	0	0	0.056	0	0.720	0	0.724
DHX29	EIF2D	9606.ENSP00000251636	9606.ENSP00000271764	0	0	0	0	0.062	0.056	0	0.713	0.724
DHX29	RPS27A	9606.ENSP00000251636	9606.ENSP00000272317	0	0	0	0	0	0.062	0.720	0	0.726
DHX29	EIF3L	9606.ENSP00000251636	9606.ENSP00000485663	0	0	0	0	0.064	0	0.360	0.595	0.736
DHX29	RPSA	9606.ENSP00000251636	9606.ENSP00000346067	0	0	0	0	0.062	0.056	0.720	0.082	0.741
DHX29	RPS29	9606.ENSP00000251636	9606.ENSP00000379339	0	0	0	0	0.048	0.122	0.720	0	0.745
DHX29	RPS11	9606.ENSP00000251636	9606.ENSP00000270625	0	0	0	0	0.049	0.164	0.720	0	0.757
DHX29	EIF3I	9606.ENSP00000251636	9606.ENSP00000362688	0	0	0	0	0.063	0	0.360	0.636	0.763
DHX29	RPS26	9606.ENSP00000251636	9606.ENSP00000348849	0	0	0	0	0.062	0	0.720	0.193	0.769
DHX29	EIF4A2	9606.ENSP00000251636	9606.ENSP00000326381	0	0	0	0	0.064	0.161	0	0.756	0.792
DHX29	EIF3B	9606.ENSP00000251636	9606.ENSP00000354125	0	0	0	0	0.085	0	0.360	0.681	0.797
DHX29	EIF4A1	9606.ENSP00000251636	9606.ENSP00000293831	0	0	0	0	0.064	0.161	0	0.771	0.804
DHX29	RPS28	9606.ENSP00000251636	9606.ENSP00000472469	0	0	0	0	0.053	0.347	0.720	0.053	0.814
DHX29	EIF3J	9606.ENSP00000251636	9606.ENSP00000261868	0	0	0	0	0.124	0	0.360	0.768	0.858
DHX29	RPS23	9606.ENSP00000251636	9606.ENSP00000296674	0	0	0	0	0	0.150	0.720	0.538	0.880
DRG1	RPL19	9606.ENSP00000329715	9606.ENSP00000225430	0	0	0.321	0	0.317	0	0	0	0.516
DRG1	DRG2	9606.ENSP00000329715	9606.ENSP00000225729	0	0	0.409	0.955	0.301	0.344	0	0.968	0.550
DRG1	EIF2S3	9606.ENSP00000329715	9606.ENSP00000253039	0	0	0.353	0	0.508	0	0	0.066	0.676
DRG1	EIF3G	9606.ENSP00000329715	9606.ENSP00000253108	0	0	0	0	0.371	0	0	0.111	0.417
DRG1	EIF2S1	9606.ENSP00000329715	9606.ENSP00000256383	0	0	0	0	0.786	0	0	0	0.786
DRG1	RPL8	9606.ENSP00000329715	9606.ENSP00000262584	0	0	0.311	0	0.367	0	0	0.138	0.591
DRG1	RPS11	9606.ENSP00000329715	9606.ENSP00000270625	0	0	0.237	0	0.367	0	0	0	0.497
DRG1	DENR	9606.ENSP00000329715	9606.ENSP00000280557	0	0	0	0	0.471	0	0	0.107	0.507
DRG1	RPS23	9606.ENSP00000329715	9606.ENSP00000296674	0	0	0.212	0	0.292	0	0	0	0.418
DRG1	RPL15	9606.ENSP00000329715	9606.ENSP00000309334	0	0	0.338	0	0.319	0	0	0	0.530
DRG1	RPS21	9606.ENSP00000329715	9606.ENSP00000345957	0	0	0	0	0.401	0	0	0	0.401
DRG1	EIF2S2	9606.ENSP00000329715	9606.ENSP00000364119	0.167	0	0	0	0.336	0	0	0	0.424
DRG1	RPL17	9606.ENSP00000329715	9606.ENSP00000397798	0	0	0.203	0	0.341	0.108	0	0	0.491
DRG1	RPL9	9606.ENSP00000329715	9606.ENSP00000400467	0	0	0.263	0	0.323	0	0	0.062	0.491
DRG1	EIF4G1	9606.ENSP00000329715	9606.ENSP00000416255	0	0	0	0	0.199	0.380	0	0.062	0.493
DRG1	EIF2S3L	9606.ENSP00000329715	9606.ENSP00000445077	0	0	0.352	0	0.449	0	0	0.066	0.637
DRG1	ETF1	9606.ENSP00000329715	9606.ENSP00000353741	0	0	0	0	0.641	0	0	0.067	0.651
DRG1	MCTS1	9606.ENSP00000329715	9606.ENSP00000360365	0	0	0	0	0.665	0	0	0.047	0.668
DRG1	HSPA14	9606.ENSP00000329715	9606.ENSP00000367623	0	0	0	0	0.690	0.103	0	0.042	0.711
DRG1	RWDD1	9606.ENSP00000329715	9606.ENSP00000420357	0	0	0	0	0.179	0.945	0	0.881	0.994
DRG1	ZC3H15	9606.ENSP00000329715	9606.ENSP00000338788	0	0	0	0	0.862	0.991	0	0.911	0.999
DRG2	RPL18A	9606.ENSP00000225729	9606.ENSP00000222247	0	0	0	0	0.521	0	0	0.043	0.522
DRG2	RPL19	9606.ENSP00000225729	9606.ENSP00000225430	0	0	0.274	0	0.429	0	0	0	0.567
DRG2	EIF3B	9606.ENSP00000225729	9606.ENSP00000354125	0	0	0	0	0.404	0	0	0	0.404
DRG2	RPL35A	9606.ENSP00000225729	9606.ENSP00000419117	0	0	0	0	0.397	0	0	0.101	0.435
DRG2	EIF2S3L	9606.ENSP00000225729	9606.ENSP00000445077	0	0	0.343	0	0.165	0	0	0.066	0.442
DRG2	RPL11	9606.ENSP00000225729	9606.ENSP00000363676	0	0	0	0	0.444	0	0	0	0.444
DRG2	RPS16	9606.ENSP00000225729	9606.ENSP00000251453	0	0	0	0	0.455	0	0	0	0.455
DRG2	RPL10A	9606.ENSP00000225729	9606.ENSP00000363018	0	0	0	0	0.456	0	0	0	0.456
